image,label,relative path
8WM59_1_transformed.jpg,Augmented,Augmented/8WM59_1_transformed.jpg
2BM93_2_transformed.jpg,Augmented,Augmented/2BM93_2_transformed.jpg
1WM59_1_transformed.jpg,Augmented,Augmented/1WM59_1_transformed.jpg
1WM93_3_transformed.jpg,Augmented,Augmented/1WM93_3_transformed.jpg
9WM120_2_transformed.jpg,Augmented,Augmented/9WM120_2_transformed.jpg
6WM59_3_transformed.jpg,Augmented,Augmented/6WM59_3_transformed.jpg
3WM59_3_transformed.jpg,Augmented,Augmented/3WM59_3_transformed.jpg
10WM120_6_transformed.jpg,Augmented,Augmented/10WM120_6_transformed.jpg
10WM120_4_transformed.jpg,Augmented,Augmented/10WM120_4_transformed.jpg
1BM120_5_transformed.jpg,Augmented,Augmented/1BM120_5_transformed.jpg
5WM59_2_transformed.jpg,Augmented,Augmented/5WM59_2_transformed.jpg
7WM59_1_transformed.jpg,Augmented,Augmented/7WM59_1_transformed.jpg
7WM93_1_transformed.jpg,Augmented,Augmented/7WM93_1_transformed.jpg
4WM120_5_transformed.jpg,Augmented,Augmented/4WM120_5_transformed.jpg
7WM120_5_transformed.jpg,Augmented,Augmented/7WM120_5_transformed.jpg
3BM120_3_transformed.jpg,Augmented,Augmented/3BM120_3_transformed.jpg
6WM93_2_transformed.jpg,Augmented,Augmented/6WM93_2_transformed.jpg
4WM93_6_transformed.jpg,Augmented,Augmented/4WM93_6_transformed.jpg
2WM120_4_transformed.jpg,Augmented,Augmented/2WM120_4_transformed.jpg
7WM93_5_transformed.jpg,Augmented,Augmented/7WM93_5_transformed.jpg
3BM93_5_transformed.jpg,Augmented,Augmented/3BM93_5_transformed.jpg
3WM120_4_transformed.jpg,Augmented,Augmented/3WM120_4_transformed.jpg
9WM59_3_transformed.jpg,Augmented,Augmented/9WM59_3_transformed.jpg
10WM93_3_transformed.jpg,Augmented,Augmented/10WM93_3_transformed.jpg
1BM93_2_transformed.jpg,Augmented,Augmented/1BM93_2_transformed.jpg
3WM93_1_transformed.jpg,Augmented,Augmented/3WM93_1_transformed.jpg
3WM93_3_transformed.jpg,Augmented,Augmented/3WM93_3_transformed.jpg
3WM120_3_transformed.jpg,Augmented,Augmented/3WM120_3_transformed.jpg
9WM93_3_transformed.jpg,Augmented,Augmented/9WM93_3_transformed.jpg
11WM59_3_transformed.jpg,Augmented,Augmented/11WM59_3_transformed.jpg
1BM93_5_transformed.jpg,Augmented,Augmented/1BM93_5_transformed.jpg
2BM93_5_transformed.jpg,Augmented,Augmented/2BM93_5_transformed.jpg
6BM74_3_transformed.jpg,Augmented,Augmented/6BM74_3_transformed.jpg
2WM59_4_transformed.jpg,Augmented,Augmented/2WM59_4_transformed.jpg
7WM93_4_transformed.jpg,Augmented,Augmented/7WM93_4_transformed.jpg
7WM120_3_transformed.jpg,Augmented,Augmented/7WM120_3_transformed.jpg
8WM59_4_transformed.jpg,Augmented,Augmented/8WM59_4_transformed.jpg
6WM93_6_transformed.jpg,Augmented,Augmented/6WM93_6_transformed.jpg
4WM93_2_transformed.jpg,Augmented,Augmented/4WM93_2_transformed.jpg
3WM59_2_transformed.jpg,Augmented,Augmented/3WM59_2_transformed.jpg
